Star_Name	Colon_Name
KIR2DL1*0020101	KIR:KIR00002
KIR2DL1*0020102	KIR:KIR00398
KIR2DL1*0020103	KIR:KIR00644
KIR2DL1*0030201	KIR:KIR00004
KIR2DL1*0030202	KIR:KIR00294
KIR2DL1*0030203	KIR:KIR00397
KIR2DL1*0030204	KIR:KIR00399
KIR2DL1*0030205	KIR:KIR00404
KIR2DL1*0030206	KIR:KIR00400
KIR2DL1*0030207	KIR:KIR00401
KIR2DL1*0030208	KIR:KIR00402
KIR2DL1*0030209	KIR:KIR00403
KIR2DL1*0030210	KIR:KIR00616
KIR2DL1*00303	KIR:KIR00005
KIR2DL1*0040101	KIR:KIR00006
KIR2DL1*0040102	KIR:KIR00007
KIR2DL1*007	KIR:KIR00200
KIR2DL1*010	KIR:KIR00214
KIR2DL1*01201	KIR:KIR00331
KIR2DL1*025	KIR:KIR00617
KIR2DL2*0010101	KIR:KIR00010
KIR2DL2*0010102	KIR:KIR00405
KIR2DL2*0010103	KIR:KIR00407
KIR2DL2*0010104	KIR:KIR00410
KIR2DL2*0010105	KIR:KIR00618
KIR2DL2*0010106	KIR:KIR00645
KIR2DL2*0010107	KIR:KIR00630
KIR2DL2*0030101	KIR:KIR00012
KIR2DL2*0030102	KIR:KIR00316
KIR2DL2*0030103	KIR:KIR00335
KIR2DL2*0030104	KIR:KIR00406
KIR2DL2*0030105	KIR:KIR00408
KIR2DL2*0030106	KIR:KIR00409
KIR2DL2*0030107	KIR:KIR00411
KIR2DL3*0010101	KIR:KIR00014
KIR2DL3*0010102	KIR:KIR00412
KIR2DL3*0010103	KIR:KIR00413
KIR2DL3*0010104	KIR:KIR00415
KIR2DL3*0010105	KIR:KIR00416
KIR2DL3*0010106	KIR:KIR00417
KIR2DL3*0010107	KIR:KIR00418
KIR2DL3*0010108	KIR:KIR00419
KIR2DL3*0010109	KIR:KIR00619
KIR2DL3*0010110	KIR:KIR00631
KIR2DL3*0010111	KIR:KIR00657
KIR2DL3*0020101	KIR:KIR00015
KIR2DL3*0020102	KIR:KIR00435
KIR2DL3*0020103	KIR:KIR00646
KIR2DL3*006	KIR:KIR00019
KIR2DL3*010	KIR:KIR00414
KIR2DL4*0010201	KIR:KIR00021
KIR2DL4*0010202	KIR:KIR00424
KIR2DL4*0010301	KIR:KIR00112
KIR2DL4*0010302	KIR:KIR00115
KIR2DL4*0010303	KIR:KIR00420
KIR2DL4*0010304	KIR:KIR00421
KIR2DL4*0010305	KIR:KIR00422
KIR2DL4*0010306	KIR:KIR00423
KIR2DL4*0010307	KIR:KIR00425
KIR2DL4*0010308	KIR:KIR00620
KIR2DL4*00104	KIR:KIR00119
KIR2DL4*00501	KIR:KIR00026
KIR2DL4*00602	KIR:KIR00130
