Star_Name	Colon_Name
KIR2DL1*0010101	IPD:KIR00001
KIR2DL1*0010102	IPD:KIR00978
KIR2DL1*0010103	IPD:KIR00979
KIR2DL1*0020101	IPD:KIR00002
KIR2DL1*0020102	IPD:KIR00398
KIR2DL1*0020103	IPD:KIR00644
KIR2DL1*00301	IPD:KIR00003
KIR2DL1*0030201	IPD:KIR00004
KIR2DL1*0030202	IPD:KIR00294
KIR2DL1*0030203	IPD:KIR00397
KIR2DL1*0030204	IPD:KIR00399
KIR2DL1*0030205	IPD:KIR00404
KIR2DL1*0030206	IPD:KIR00400
KIR2DL1*0030207	IPD:KIR00401
KIR2DL1*0030208	IPD:KIR00402
KIR2DL1*0030209	IPD:KIR00403
KIR2DL1*0030210	IPD:KIR00616
KIR2DL1*00303	IPD:KIR00005
KIR2DL1*00304	IPD:KIR00897
KIR2DL1*00305	IPD:KIR00898
KIR2DL1*00306	IPD:KIR00957
KIR2DL1*0040101	IPD:KIR00006
KIR2DL1*0040102	IPD:KIR00007
KIR2DL1*00402	IPD:KIR00203
KIR2DL1*00403	IPD:KIR00330
KIR2DL1*00404	IPD:KIR00982
KIR2DL1*005	IPD:KIR00008
KIR2DL1*00601	IPD:KIR00009
KIR2DL1*00602	IPD:KIR00764
KIR2DL1*007	IPD:KIR00200
KIR2DL1*008	IPD:KIR00201
KIR2DL1*009	IPD:KIR00202
KIR2DL1*010	IPD:KIR00214
KIR2DL1*01101	IPD:KIR00329
KIR2DL1*01102	IPD:KIR00396
KIR2DL1*01201	IPD:KIR00331
KIR2DL1*01202	IPD:KIR00574
KIR2DL1*013N	IPD:KIR00332
KIR2DL1*014	IPD:KIR00333
KIR2DL1*015	IPD:KIR00334
KIR2DL1*016	IPD:KIR00349
KIR2DL1*017	IPD:KIR00350
KIR2DL1*018	IPD:KIR00351
KIR2DL1*019	IPD:KIR00352
KIR2DL1*020	IPD:KIR00518
KIR2DL1*021	IPD:KIR00519
KIR2DL1*02201	IPD:KIR00577
KIR2DL1*02202	IPD:KIR00956
KIR2DL1*023	IPD:KIR00575
KIR2DL1*024	IPD:KIR00576
KIR2DL1*025	IPD:KIR00617
KIR2DL1*026	IPD:KIR00677
KIR2DL1*027	IPD:KIR00798
KIR2DL1*028	IPD:KIR00799
KIR2DL1*029	IPD:KIR00800
KIR2DL1*030	IPD:KIR00817
KIR2DL1*031	IPD:KIR00818
KIR2DL1*032N	IPD:KIR00865
KIR2DL1*033	IPD:KIR00899
KIR2DL1*034	IPD:KIR00900
KIR2DL1*035	IPD:KIR00954
KIR2DL1*036	IPD:KIR00955
KIR2DL1*037	IPD:KIR00980
KIR2DL1*038	IPD:KIR00981
KIR2DL2*0010101	IPD:KIR00010
KIR2DL2*0010102	IPD:KIR00405
KIR2DL2*0010103	IPD:KIR00407
KIR2DL2*0010104	IPD:KIR00410
KIR2DL2*0010105	IPD:KIR00618
KIR2DL2*0010106	IPD:KIR00645
KIR2DL2*0010107	IPD:KIR00630
KIR2DL2*00102	IPD:KIR00324
KIR2DL2*00103	IPD:KIR00850
KIR2DL2*002	IPD:KIR00011
